flightID,departuretime,arrivaltime,planned_path_cost,actual_path_cost,shortest_path_cost
QFA12-1526707553-airline-0412:2,2018:05:21 17:10:00,2018:05:21 23:00:00,22980.3306911,23495.773166377032,22118.2151124
ASA1413-1526707547-airline-0271:0,2018:05:21 15:56:00,2018:05:21 22:16:00,23800.8294107,23608.727647191045,22069.3101949
AAL117-1526793964-airline-0500:0,2018:05:22 14:30:00,2018:05:22 20:59:00,22957.680743,22927.929969690857,22088.8187881
JBU323-1526793965-airline-0234:0,2018:05:22 08:30:00,2018:05:22 14:46:00,22946.0719127,22856.99035191079,22135.1651805
JBU523-1526793965-airline-0075:0,2018:05:22 11:30:00,2018:05:22 17:39:00,22880.8248159,23070.182760149553,22111.701713
JBU1723-1526793965-airline-0331,2018:05:22 20:40:00,2018:05:23 03:02:00,23075.989066,23126.01942693819,22028.9835707
JBU123-1526793965-airline-0205:0,2018:05:22 06:31:00,2018:05:22 12:44:00,22988.1842867,22820.134932880803,22148.0917855
JBU1523-1526793965-airline-0060:0,2018:05:22 16:00:00,2018:05:22 22:28:00,23260.6974193,23472.846251343643,22081.8704553
JBU1323-1526793965-airline-0092:0,2018:05:22 14:27:00,2018:05:22 20:51:00,23539.7393386,23621.209742040675,22088.8187881
JBU23-1526793965-airline-0363:0,2018:05:22 04:50:00,2018:05:22 10:58:00,22855.655358,22775.385972491633,22242.1448149
AAL171-1526793964-airline-0028:0,2018:05:22 05:00:00,2018:05:22 11:27:00,22888.0531475,22721.896974731866,22242.1448149
AAL1-1526793964-airline-0505:0,2018:05:22 07:00:00,2018:05:22 13:35:00,22685.7771074,22692.96918784452,22148.0917855
AAL255-1526793964-airline-0099:0,2018:05:22 09:00:00,2018:05:22 15:23:00,22530.5356336,22756.01205628913,22135.1651805
AAL3-1526793964-airline-0250:0,2018:05:22 11:00:00,2018:05:22 17:12:00,22493.1706933,22658.49737262079,22109.3793939
AAL23-1526793964-airline-0386:0,2018:05:22 13:30:00,2018:05:22 19:54:00,22874.2532304,22722.042740311947,22087.3975243
AAL19-1526793964-airline-0544:0,2018:05:22 16:00:00,2018:05:22 22:26:00,22947.5937826,22809.077349066767,22081.8704553
AAL133-1526793964-airline-0565:0,2018:05:22 17:00:00,2018:05:22 23:32:00,22913.5087655,22806.069634273776,22086.2830701
AAL185-1526793964-airline-0607,2018:05:22 20:15:00,2018:05:23 02:45:00,0,23034.90821901243,22028.9835707
AAL33-1526793964-airline-0533,2018:05:22 06:00:00,2018:05:22 12:29:00,0,22877.2712166303,22180.7887877
AAL163-1526793964-airline-0141:0,2018:05:22 10:00:00,2018:05:22 16:16:00,22552.3705938,22533.657293150573,22104.7804837
DAL472-1526707550-airline-0435:0,2018:05:22 07:05:00,2018:05:22 13:19:00,22842.7108661,22733.094480572567,22148.0917855
DAL330-1526793967-airline-0008:0,2018:05:22 08:55:00,2018:05:22 15:10:00,22654.3642699,22883.43001717666,22135.1651805
DAL747-1526793967-airline-0080:0,2018:05:22 10:55:00,2018:05:22 16:57:00,22878.3262461,23045.567666708106,22109.3793939
DAL460-1526793967-airline-0301:0,2018:05:22 17:19:00,2018:05:22 23:35:00,23603.8295197,23771.699476537164,22086.2830701
DAL212-1526793967-airline-0308:0,2018:05:22 15:55:00,2018:05:22 22:05:00,23668.6919817,23670.092451905824,22081.8704553
DAL458-1526793967-airline-0154:0,2018:05:22 12:55:00,2018:05:22 19:01:00,22859.0019217,22938.78749553885,22073.0788836
DAL400-1526793967-airline-0582:0,2018:05:22 14:30:00,2018:05:22 20:48:00,23557.3703,23465.39360408345,22088.8187881
CPZ5756-1526793976-airline-0129,2018:05:22 14:30:00,2018:05:22 20:48:00,0,32934.281869793274,22088.8187881
ASA1411-1526793965-airline-0404:0,2018:05:22 12:00:00,2018:05:22 18:12:00,23443.1425641,23322.975583462197,22111.701713
JBU223-1526793965-airline-0155:0,2018:05:22 07:23:00,2018:05:22 13:45:00,22949.2885718,22830.83618310594,22117.8953975
JBU423-1526793965-airline-0271:0,2018:05:22 09:30:00,2018:05:22 15:39:00,23004.4057226,23671.061835828972,22104.7804837
QFA12-1526793973-airline-0257:2,2018:05:22 17:10:00,2018:05:22 23:00:00,22875.8114019,23379.19529420025,22086.2830701
ASA1407-1526793965-airline-0132:0,2018:05:22 08:00:00,2018:05:22 14:12:00,22722.961156,22716.45338873278,22117.8953975
ASA1409-1526793965-airline-0101:0,2018:05:22 10:30:00,2018:05:22 16:42:00,22835.6147921,22745.31477963157,22109.3793939
ASA1413-1526793965-airline-0299:0,2018:05:22 15:56:00,2018:05:22 22:16:00,23436.2407296,23451.594080372164,22081.8704553
AAL19-1526880384-airline-0241:0,2018:05:23 16:00:00,2018:05:23 22:26:00,23304.2195409,23365.40509031773,21807.3641329
AAL133-1526880391-airline-0355:0,2018:05:23 17:00:00,2018:05:23 23:32:00,23214.9067679,23253.363904239024,21852.8130997
DAL212-1526880393-airline-0114:0,2018:05:23 15:55:00,2018:05:23 22:05:00,23329.138683,23302.07774263926,21807.3641329
AAL117-1526880384-airline-0161:0,2018:05:23 14:30:00,2018:05:23 20:59:00,23251.4104952,23429.52689841167,21826.2550482
JBU523-1526880392-airline-0129:0,2018:05:23 11:30:00,2018:05:23 17:39:00,22397.6293256,22401.492755595515,21863.9653661
DAL460-1526880394-airline-0179:0,2018:05:23 17:19:00,2018:05:23 23:35:00,23211.6667996,23428.773239697,21852.8130997
DAL400-1526880394-airline-0476:0,2018:05:23 14:30:00,2018:05:23 20:48:00,22523.2694764,23840.414776916125,21826.2550482
JBU323-1526880392-airline-0105,2018:05:23 08:30:00,2018:05:23 14:46:00,22581.1274223,22319.732230465546,22052.5207626
AAL23-1526880384-airline-0060:0,2018:05:23 13:30:00,2018:05:23 19:54:00,22400.1090975,22462.663130697198,21836.7504541
JBU1623-1526880392-airline-0296,2018:05:23 18:30:00,2018:05:24 01:04:00,23123.4675747,23004.89097346695,21911.5580333
JBU1523-1526880392-airline-0442:0,2018:05:23 16:00:00,2018:05:23 22:28:00,22464.0047944,22462.639197940287,21807.3641329
AAL293-1526880391-airline-0193,2018:05:23 19:15:00,2018:05:24 01:50:00,22661.2737177,22404.181654851418,21923.5302402
JBU423-1526880392-airline-0154,2018:05:23 09:30:00,2018:05:23 15:39:00,22511.2642965,22393.861361489293,22018.4883511
DAL458-1526880394-airline-0364:0,2018:05:23 12:55:00,2018:05:23 19:01:00,22490.545155,22812.782494290826,21849.7917803
JBU1323-1526880392-airline-0001:0,2018:05:23 14:27:00,2018:05:23 20:51:00,22225.3062793,22518.375167820635,21826.2550482
ASA1413-1526880392-airline-0286:0,2018:05:23 15:56:00,2018:05:23 22:16:00,22481.2193034,22419.58881424857,21807.3641329
AAL171-1526880391-airline-0588:0,2018:05:23 05:00:00,2018:05:23 11:27:00,23163.9879688,23090.498459306804,22036.8548798
QFA12-1526880397-airline-0234:0,2018:05:23 17:10:00,2018:05:23 23:00:00,22657.2990091,22787.222256615754,21852.8130997
ASA1411-1526880392-airline-0100:0,2018:05:23 12:00:00,2018:05:23 18:12:00,22536.0073503,22574.866005514425,21863.9653661
JBU23-1526880392-airline-0146:0,2018:05:23 04:50:00,2018:05:23 10:58:00,23066.1305843,23255.53342944811,22036.8548798
DAL400-1526966764-airline-0207:0,2018:05:24 14:30:00,2018:05:24 20:48:00,21592.8792848,21881.01231109238,21359.4938162
AAL3-1526966760-airline-0241,2018:05:24 11:00:00,2018:05:24 17:12:00,21826.1513072,22002.41019423483,21360.1383082
DAL212-1526966764-airline-0422:0,2018:05:24 15:55:00,2018:05:24 22:05:00,21686.4782941,21681.96573022691,21393.8728919
AAL33-1526966760-airline-0140,2018:05:24 06:00:00,2018:05:24 12:29:00,22492.5021741,22284.75913785846,21549.0443434
AAL1-1526966760-airline-0126,2018:05:24 07:00:00,2018:05:24 13:35:00,22382.9098368,22253.766720438292,21559.7205573
JBU523-1526966762-airline-0088:0,2018:05:24 11:30:00,2018:05:24 17:39:00,21645.1064723,21554.671523647718,21329.7999693
